CrimeDate,District,Location,Value
2011-01-01,CENTRAL,Inside,15
2011-01-01,CENTRAL,Outside,14
2011-01-01,EASTERN,Inside,10
2011-01-01,EASTERN,Outside,10
2011-01-01,NORTHEASTERN,Inside,9
2011-01-01,NORTHEASTERN,Outside,9
2011-01-01,NORTHERN,Inside,7
2011-01-01,NORTHERN,Outside,6
2011-01-01,NORTHWESTERN,Inside,5
2011-01-01,NORTHWESTERN,Outside,7
2011-01-01,SOUTHEASTERN,Inside,13
2011-01-01,SOUTHEASTERN,Outside,11
2011-01-01,SOUTHERN,Inside,14
2011-01-01,SOUTHERN,Outside,16
2011-01-01,SOUTHWESTERN,Inside,5
2011-01-01,SOUTHWESTERN,Outside,8
2011-01-01,WESTERN,Inside,15
2011-01-01,WESTERN,Outside,10
2011-01-02,CENTRAL,Inside,11
2011-01-02,CENTRAL,Outside,3
2011-01-02,EASTERN,Inside,6
2011-01-02,EASTERN,Outside,4
2011-01-02,NORTHEASTERN,Inside,3
2011-01-02,NORTHEASTERN,Outside,8
2011-01-02,NORTHERN,Inside,4
2011-01-02,NORTHERN,Outside,3
2011-01-02,NORTHWESTERN,Inside,7
2011-01-02,NORTHWESTERN,Outside,8
2011-01-02,SOUTHEASTERN,Inside,5
2011-01-02,SOUTHEASTERN,Outside,4
2011-01-02,SOUTHERN,Inside,2
2011-01-02,SOUTHERN,Outside,9
2011-01-02,SOUTHWESTERN,Inside,6
2011-01-02,SOUTHWESTERN,Outside,3
2011-01-02,WESTERN,Inside,5
2011-01-02,WESTERN,Outside,6
2011-01-03,CENTRAL,Inside,11
2011-01-03,CENTRAL,Outside,3
2011-01-03,EASTERN,Inside,4
2011-01-03,EASTERN,Outside,4
2011-01-03,NORTHEASTERN,Inside,11
2011-01-03,NORTHEASTERN,Outside,11
2011-01-03,NORTHERN,Inside,2
2011-01-03,NORTHERN,Outside,5
2011-01-03,NORTHWESTERN,Inside,10
2011-01-03,NORTHWESTERN,Outside,6
2011-01-03,SOUTHEASTERN,Inside,3
2011-01-03,SOUTHEASTERN,Outside,10
2011-01-03,SOUTHERN,Inside,4
2011-01-03,SOUTHERN,Outside,9
2011-01-03,SOUTHWESTERN,Inside,4
2011-01-03,SOUTHWESTERN,Outside,5
2011-01-03,WESTERN,Inside,2
2011-01-03,WESTERN,Outside,1
2011-01-04,CENTRAL,Inside,5
2011-01-04,CENTRAL,Outside,4
2011-01-04,EASTERN,Inside,5
2011-01-04,EASTERN,Outside,4
2011-01-04,NORTHEASTERN,Inside,14
2011-01-04,NORTHEASTERN,Outside,6
2011-01-04,NORTHERN,Inside,12
2011-01-04,NORTHERN,Outside,5
2011-01-04,NORTHWESTERN,Inside,8
2011-01-04,NORTHWESTERN,Outside,6
2011-01-04,SOUTHEASTERN,Inside,3
2011-01-04,SOUTHEASTERN,Outside,7
2011-01-04,SOUTHERN,Inside,7
2011-01-04,SOUTHERN,Outside,6
2011-01-04,SOUTHWESTERN,Inside,6
2011-01-04,SOUTHWESTERN,Outside,4
2011-01-04,WESTERN,Inside,3
2011-01-04,WESTERN,Outside,7
2011-01-05,CENTRAL,Inside,4
2011-01-05,CENTRAL,Outside,8
2011-01-05,EASTERN,Inside,4
2011-01-05,EASTERN,Outside,6
2011-01-05,NORTHEASTERN,Inside,19
2011-01-05,NORTHEASTERN,Outside,7
2011-01-05,NORTHERN,Inside,7
2011-01-05,NORTHERN,Outside,1
2011-01-05,NORTHWESTERN,Inside,10
2011-01-05,NORTHWESTERN,Outside,8
2011-01-05,SOUTHEASTERN,Inside,8
2011-01-05,SOUTHEASTERN,Outside,8
2011-01-05,SOUTHERN,Inside,7
2011-01-05,SOUTHERN,Outside,7
2011-01-05,SOUTHWESTERN,Inside,9
2011-01-05,SOUTHWESTERN,Outside,5
2011-01-05,WESTERN,Inside,7
2011-01-05,WESTERN,Outside,4
2011-01-06,CENTRAL,Inside,5
2011-01-06,CENTRAL,Outside,6
2011-01-06,EASTERN,Inside,2
2011-01-06,EASTERN,Outside,5
2011-01-06,NORTHEASTERN,Inside,9
2011-01-06,NORTHEASTERN,Outside,7
2011-01-06,NORTHERN,Inside,9
2011-01-06,NORTHERN,Outside,6
2011-01-06,NORTHWESTERN,Inside,4
2011-01-06,NORTHWESTERN,Outside,4
2011-01-06,SOUTHEASTERN,Inside,6
2011-01-06,SOUTHEASTERN,Outside,6
2011-01-06,SOUTHERN,Inside,8
2011-01-06,SOUTHERN,Outside,6
2011-01-06,SOUTHWESTERN,Inside,7
2011-01-06,SOUTHWESTERN,Outside,6
2011-01-06,WESTERN,Inside,8
2011-01-06,WESTERN,Outside,2
2011-01-07,CENTRAL,Inside,15
2011-01-07,CENTRAL,Outside,7
2011-01-07,EASTERN,Inside,5
2011-01-07,EASTERN,Outside,10
2011-01-07,NORTHEASTERN,Inside,19
2011-01-07,NORTHEASTERN,Outside,10
2011-01-07,NORTHERN,Inside,7
2011-01-07,NORTHERN,Outside,7
2011-01-07,NORTHWESTERN,Inside,4
2011-01-07,NORTHWESTERN,Outside,6
2011-01-07,SOUTHEASTERN,Inside,8
2011-01-07,SOUTHEASTERN,Outside,5
2011-01-07,SOUTHERN,Inside,4
2011-01-07,SOUTHERN,Outside,7
2011-01-07,SOUTHWESTERN,Inside,6
2011-01-07,SOUTHWESTERN,Outside,10
2011-01-07,WESTERN,Inside,8
2011-01-07,WESTERN,Outside,4
2011-01-08,CENTRAL,Inside,5
2011-01-08,CENTRAL,Outside,5
2011-01-08,EASTERN,Inside,4
2011-01-08,EASTERN,Outside,3
2011-01-08,NORTHEASTERN,Inside,11
2011-01-08,NORTHEASTERN,Outside,8
2011-01-08,NORTHERN,Inside,7
2011-01-08,NORTHERN,Outside,8
2011-01-08,NORTHWESTERN,Inside,7
2011-01-08,NORTHWESTERN,Outside,6
2011-01-08,SOUTHEASTERN,Inside,9
2011-01-08,SOUTHEASTERN,Outside,5
2011-01-08,SOUTHERN,Inside,7
2011-01-08,SOUTHERN,Outside,3
2011-01-08,SOUTHWESTERN,Inside,8
2011-01-08,SOUTHWESTERN,Outside,4
2011-01-08,WESTERN,Inside,3
2011-01-08,WESTERN,Outside,3
2011-01-09,CENTRAL,Inside,5
2011-01-09,CENTRAL,Outside,13
2011-01-09,EASTERN,Inside,5
2011-01-09,EASTERN,Outside,3
2011-01-09,NORTHEASTERN,Inside,8
2011-01-09,NORTHEASTERN,Outside,8
2011-01-09,NORTHERN,Inside,5
2011-01-09,NORTHERN,Outside,7
2011-01-09,NORTHWESTERN,Inside,3
2011-01-09,SOUTHEASTERN,Inside,6
2011-01-09,SOUTHEASTERN,Outside,7
2011-01-09,SOUTHERN,Inside,7
2011-01-09,SOUTHERN,Outside,1
2011-01-09,SOUTHWESTERN,Inside,8
2011-01-09,SOUTHWESTERN,Outside,4
2011-01-09,WESTERN,Inside,6
2011-01-09,WESTERN,Outside,2
2011-01-10,CENTRAL,Inside,2
2011-01-10,CENTRAL,Outside,6
2011-01-10,EASTERN,Inside,4
2011-01-10,EASTERN,Outside,3
2011-01-10,NORTHEASTERN,Inside,10
2011-01-10,NORTHEASTERN,Outside,6
2011-01-10,NORTHERN,Inside,10
2011-01-10,NORTHERN,Outside,4
2011-01-10,NORTHWESTERN,Inside,7
2011-01-10,NORTHWESTERN,Outside,9
2011-01-10,SOUTHEASTERN,Inside,1
2011-01-10,SOUTHEASTERN,Outside,9
2011-01-10,SOUTHERN,Inside,6
2011-01-10,SOUTHERN,Outside,14
2011-01-10,SOUTHWESTERN,Inside,4
2011-01-10,SOUTHWESTERN,Outside,2
2011-01-10,WESTERN,Inside,11
2011-01-10,WESTERN,Outside,5
